Date of Sale (dd/mm/yyyy),Address,Street Name,Price
26/02/2015,"5 KINCORA COURT, CLONTARF, DUBLIN 3",kincora court,"€510,000.00"
26/02/2015,"7 LAURELTON, BUSHY PARK RD, RATHGAR DUBLIN 6",bushy park,"€825,000.00"
26/02/2015,"98 BUSHY PARK RD, TERENURE, DUBLIN 6",bushy park,"€1,070,000.00"
27/02/2015,"124B LEINSTER RD, RATHMINES, DUBLIN 6",leinster road,"€325,000.00"
27/02/2015,"2 THE LAUNDRY, HYBREASAL, SOUTH CIRCULAR RD DUBLIN 8",south circular road,"€350,000.00"
27/02/2015,"26 ROCKFORD MANOR, STRADBROOK RD, BLACKROCK",manor street,"€490,000.00"
27/02/2015,"31 ASHCROFT, RAHENY, DUBLIN 5",ashcroft,"€369,000.00"
27/02/2015,"35A METROPOLITAN APTS, INCHICORE ROAD, KILMAINHAM",inchicore road,"€212,000.00"
27/02/2015,"98 Rockford Manor, Stradbrook Road, Blackrock",manor street,"€250,000.00"
27/02/2015,"CULLOVILLE, 14 TALBOT LODGE, GROVE AVE",grove avenue,"€870,000.00"
02/03/2015,"6 VIKING RD, ARBOUR HILL, STONEYBATTER DUBLIN 7",arbour hill,"€290,000.00"
02/03/2015,"93 MOURNE RD, DRIMNAGH, DUBLIN 12",mourne road,"€220,000.00"
02/03/2015,"APT 12, 113 PARK VIEW, HAROLDS CROSS ROAD",park view,"€178,000.00"
03/03/2015,"101 HADDINGTON RD, BALLSBRIDGE, DUBLIN 4",haddington road,"€475,000.00"
03/03/2015,"189 Abbey Court, Bachelor's Walk, Dublin 1",bachelors walk,"€130,000.00"
03/03/2015,"196 Abbey Court, Bachelor's Walk, Dublin 1",bachelors walk,"€130,000.00"
03/03/2015,"234 Abbey Court, Bachelor's Walk, Dublin 1",bachelors walk,"€130,000.00"
03/03/2015,"281 Abbey Court, Bachelor's Walk, Dublin 1",bachelors walk,"€130,000.00"
03/03/2015,"302 Abbey Court, Bachelor's Walk, Dublin 1",bachelors walk,"€130,000.00"
03/03/2015,"320 Abbey Court, Bachelor's Walk, Dublin 1",bachelors walk,"€130,000.00"
03/03/2015,"323 Abbey Court, Bachelor's Walk, Dublin 1",bachelors walk,"€100,000.00"
03/03/2015,"328 Abbey Court, Bachelor's Walk",bachelors walk,"€130,000.00"
03/03/2015,"344 Abbey Court, Bachelor's Walk, Dublin 1",bachelors walk,"€130,000.00"
03/03/2015,"35 Abbey Court, Bachelor's Walk, Dublin 1",bachelors walk,"€100,000.00"
03/03/2015,"360 Abbey Court, Bachelor's Walk, Dublin 1",bachelors walk,"€130,000.00"
03/03/2015,"375 Abbey Court, Bachelor's Walk, Dublin 1",bachelors walk,"€130,000.00"
03/03/2015,"86 BELGROVE PARK, MOUNT PROSPECT LAWNS, MOUNT PROSPECT AVE",mount prospect avenue,"€312,000.00"
03/03/2015,"HAMILTON LODGE, 1 HAMILTON STREET, SOUTH CIRCULAR ROAD",hamilton street,"€310,000.00"
04/03/2015,"23 RAFTERS RD, DRIMNAGH, DUBLIN 12",rafters road,"€175,000.00"
04/03/2015,"31 DONORE RD, DUBLIN 8, DUBLIN",donore road,"€265,000.00"
04/03/2015,"4 BEAUFIELD MANOR, STILLORGAN, DUBLIN",manor street,"€358,000.00"
05/03/2015,"118 GLASNEVIN AVE, GLASNEVIN, DUBLIN 11",glasnevin avenue,"€490,000.00"
05/03/2015,"20 Sheas Court, Manor Street",manor street,"€327,000.00"
05/03/2015,"212 TONLEGEE RD, CAMERON PARK, RAHENY DUBLIN 5",tonlegee road,"€295,000.00"
05/03/2015,"22 GLENDHU RD, NAVAN RD, DUBLIN 7",glendhu road,"€295,000.00"
05/03/2015,"224 BACHELORS WALK, DUBLIN 1, DUBLIN",bachelors walk,"€140,000.00"
05/03/2015,"30 GROVE WOOD, FINGLAS PARK, DUBLIN 11",finglas park,"€250,000.00"
05/03/2015,"APT 16, 38 HADDINGTON RD, DUBLIN CITY",haddington road,"€418,000.00"
06/03/2015,"28 HERBERT LANE, BAGGOT ST LOWER, DUBLIN 2",baggot street,"€355,000.00"
06/03/2015,"3 CATHERINES LANE, CHURCH ST, DUBLIN 7",church street,"€148,000.00"
06/03/2015,"515 BALLYFERMOT RD, DUBLIN 10, DUBLIN",ballyfermot road,"€165,000.00"
06/03/2015,"52 PARK VIEW, BALDOYLE, DUBLIN 13",park view,"€345,000.00"
06/03/2015,"74A ST AGNES PARK, DUBLIN 12",st agnes park,"€295,000.00"
06/03/2015,"8 GLEN CLOSE, THE PARK, CABINTEELY",the park,"€670,000.00"
06/03/2015,"APT 1, CLAREMONT COURT, CLAREMONT RD DUBLIN 4",claremont court,"€210,000.00"
09/03/2015,"1 THE PARK, MILLBROOK LAWNS, TALLAGHT",the park,"€242,500.00"
09/03/2015,"10 THE MEADOWS, CLONSILLA, DUBLIN 15",the meadows,"€140,000.00"
09/03/2015,"552 MOURNE RD, DRIMNAGH, DUBLIN 12",mourne road,"€185,000.00"
09/03/2015,"APT 2 STEWART HOUSE, 185 PARNELL STREET, DUBLIN 1",parnell street,"€70,000.00"
09/03/2015,"APT 3 STEWART HOUSE, 185 PARNELL ST, DUBLIN 1",parnell street,"€70,000.00"
10/03/2015,"158 B KILDARE RD, CRUMLIN, DUBLIN 12",kildare road,"€183,000.00"
10/03/2015,"98 CLAREMONT COURT, GLASNEVIN, DUBLIN 11",claremont court,"€151,000.00"
10/03/2015,"98 NEPHIN RD, NAVAN RD, DUBLIN 7",nephin road,"€410,000.00"
11/03/2015,"10 LORETO RD, MARYLAND, DUBLIN 8",loreto road,"€187,000.00"
11/03/2015,"106 Ivy Exchange, Parnell Street",parnell street,"€77,777.77"
11/03/2015,"113 Ivy Exchange, Parnell Street",parnell street,"€77,777.77"
11/03/2015,"117 Ivy Exchange, Parnell Street",parnell street,"€77,777.77"
11/03/2015,"118 BACHELORS WALK, DUBLIN 1",bachelors walk,"€169,800.00"
11/03/2015,"120 BELLEVUE, SOUTH CIRCULAR RD, ISLANDBRIDGE DUBLIN 8",south circular road,"€170,000.00"
11/03/2015,"121 Ivy Exchange, Parnell Street",parnell street,"€77,777.84"
